sensorid,name,province,amphoe,tambol,lat,lon
CU-S0069,องค์การบริหารส่วนตำบลผาสิงห์,น่าน,เมืองน่าน,ผาสิงห์,18.8555,100.7373
CU-S0038,เทศบาลตำบลขึ่ง,น่าน,เวียงสา,ขึ่ง,18.553258,100.779807
CU-S0076,องค์การบริหารส่วนตำบลนาเหลือง,น่าน,เวียงสา,นาเหลือง,18.67334,100.7868
CU-S0075,องค์การบริหารส่วนตำบลน้ำปั้ว,น่าน,เวียงสา,น้ำปั้ว,18.63566,100.7404
CU-S0049,องค์การบริหารส่วนตำบลน้ำมวบ,น่าน,เวียงสา,น้ำมวบ,18.48423,100.9313
CU-S0028,องค์การบริหารส่วนตำบลแม่ขะนิง,น่าน,เวียงสา,แม่ขะนิง,18.70508,100.5485
CU-S0056,องค์การบริหารส่วนตำบลแม่สา,น่าน,เวียงสา,แม่สา,18.5806,100.7184
CU-S0055,องค์การบริหารส่วนตำบลแม่สาคร,น่าน,เวียงสา,แม่สาคร,18.47558,100.6288
CU-S0030,องค์การบริหารส่วนตำบลตาลชุม,น่าน,เวียงสา,ตาลชุม,18.64616,100.7681
CU-S0050,องค์การบริหารส่วนตำบลยาบหัวนา,น่าน,เวียงสา,ยาบหัวนา,18.58357,100.5104
CU-S0031,องค์การบริหารส่วนตำบลทุ่งศรีทอง,น่าน,เวียงสา,ทุ่งศรีทอง,18.65352,100.684
CU-S0041,องค์การบริหารส่วนตำบลส้าน,น่าน,เวียงสา,ส้าน,18.51228,100.7499
CU-S0045,องค์การบริหารส่วนตำบลไหล่น่าน,น่าน,เวียงสา,ไหลน่าน,18.57299,100.7825
CU-S0013,องค์การบริหารส่วนตำบลนาไร่หลวง,น่าน,สองแคว,นาไร่หลวง,19.325,100.6767
CU-S0092,องค์การบริหารส่วนตำบลอ่ายนาไลย,น่าน,เวียงสา,อ่ายนาไลย,18.55324,100.7145
CU-S0011,เทศบาลตำบลยอด,น่าน,สองแคว,ยอด,19.38136,100.6029
CU-S0040,องค์การบริหารส่วนตำบลจอมจันทร์,น่าน,เวียงสา,จอมจันทร์,18.6264,100.8353
CU-S0081,องค์การบริหารส่วนตำบลดุ่พงษ์,น่าน,สันติสุข,ดุ่พงษ์,18.91,100.94
CU-S0093,องค์การบริหารส่วนตำบลพงษ์,น่าน,สันติสุข,พงษ์,18.90114,100.9505
CU-S0072,องค์การบริหารส่วนตำบลป่าแลวหลวง,น่าน,สันติสุข,ป่าแลวหลวง,18.95,100.92
CU-S00103,องค์การบริหารส่วนตำบลภูคา,น่าน,ปัว,ภูคา,19.21986,101.0636
CU-S00104,องค์การบริหารส่วนตำบลเชียงของ,น่าน,นาน้อย,เชียงของ,18.3097,100.7352
CU-S00083,องค์การบริหารส่วนตำบลสกาด,น่าน,ปัว,สกาด,19.26502,101.0083
CU-S0035,เทศบาลตำบลหนองแดง,น่าน,แม่จริม,หนองแดง,18.71684,101.00866
CU-S0008,องค์การบริหารส่วนตำบลชนแดน,น่าน,สองแคว,ชนแดน,19.4334,100.6708
CU-S0202,ชุมชนบ้านเจริญพร,สระบุรี,แก่งคอย,ทับกวาง,14.636601,101.08337
CU-S0201,บ้านพักพนักงานปูนซีเมนต์นครหลวง,สระบุรี,แก่งคอย,ทับกวาง,14.615429,101.077419
